['title'],2
['Instructor'],2
['Instructor'],2
"['Instructor and Director, ESM/MSE Engineering Communications Program']",3
['Instructor AY'],2
['Instructor'],2
['Instructor'],2
['Instructor'],2
['Instructor'],2
['Instructor'],2
['Instructor'],2
['Instructor'],2
['Instructor'],2
['Instructor'],2
['Instructor'],2
['Instructor'],2
['Computer Operator Technician II'],3
['Industrial Technician'],3
['Instructor'],2
['Instructor'],2
['Computer Operator Technician II'],3
['Clinical Instructor'],2
['Senior Instructor'],2
['Instructor'],2
['Lab Instructor'],2
['Instructor'],2
['Adjunct Instructor'],2
['Adjunct Instructor'],2
['Instructor/Lecturer'],2
['Adjunct Instructor'],2
[' Instructor'],2
['Instructor'],2
['Senior Instructor'],2
['Electronics Technician'],3
['Lecturer'],2
"['Lecturer, Civil and Environmental Engineering']",3
"['Senior Lecturer, Electrical and Computer Engineering']",3
"['Lecturer, Mechanical Engineering']",2
"['Lecturer, Mechanical Engineering']",2
['Instructor'],2
['Secretary'],3
['Adjunct Instructor'],2
['Adjunct Instructor'],2
['Lab Technician'],3
['Computer Lab Technician/Systems Administration'],3
['Lab Technician'],3
['Lab Technician'],3
['Lab Technician'],3
['Lab Technician'],3
['Lab Technician'],3
['Instructor'],2
['Instructor'],2
"['Administrative Secretary, Sr. - Mechanical and Aerospace Engineering']",3
['Accounting Assistant II - Mechanical and Aerospace Engineering'],3
['Senior Lab Instrument Specialist'],3
['Financial Manager - Mechanical and Aerospace Engineering'],3
['Office Administrator - Mechanical and Aerospace Engineering'],3
['Accounting Assistant II - Mechanical and Aerospace Engineering'],3
['Post Doctoral Fellow - Mechanical and Aerospace Engineering'],3
['Administrative Assistant - Mechanical and Aerospace Engineering'],3
['Program Assistant II - Mechanical and Aerospace Engineering'],3
['Administrative Secretary Sr.'],3
['Senior Lab Instrumentation Specialist'],3
['Office Administrator'],3
['Accounting Assistant'],3
['Lecturer'],2
['Senior Lab Instrumentation Specialist'],3
['Business Office Administrator'],3
['Lecturer'],2
['Lecturer'],2
"['LECTURER/PROGRAM COORDINATOR FOR OUTREACH & EXTENDED LEARNING, SOFTWARE ENGINEERING programs']",3
['Lecturer'],2
['Lecturer'],2
['Accounting Assistant II'],3
['Lecturer'],2
['Administrative Secretary - Sr'],3
['Lecturer'],2
['Adjunct Instructor'],2
['Lecturer'],2
['Office Administrator'],3
['CESD Staff'],3
['CESD Staff'],3
['Teaching Instructor and Prototyping Shop Manager'],2
"['CESD, Executive Assistant']",3
['Accounting Assistant'],3
['Extension Agent'],2
['CESD Staff'],3
['Office Administrator'],3
['Administrative Assistant'],3
['Academic Lab Manager I'],3
['Academic Lab Manager I'],3
['Academic Lab Manager I'],3
['Academic Lab Manager I'],3
['Program Assistant II'],3
['Program Assistant II'],3
['Academic Lab Manager I'],3
['Program Assistant II; Fax: 304.442.3391'],3
['Teaching Support Assistant'],2
['Teaching Support Assistant'],2
